cluster,Cell Junction,Cell Projection,Cell Surface,Cytoplasm,Endoplasmic Reticulum,Endosome,Golgi Apparatus,Lysosome,Membrane,Mitochondrion,Nucleus,Periplasm,Peroxisome,Plastid,Secreted,Vacuole,Virion
0,0,0,0,1577,0,0,0,0,68,75,4,17,0,0,176,0,48
1,0,0,0,1497,0,0,13,0,35,5,24,0,0,0,54,0,35
2,7,1,17,5245,88,39,58,10,1970,943,5368,63,16,25,1252,30,296
3,0,0,0,2352,0,0,0,0,57,3,1,10,0,0,30,0,0
4,0,0,0,3412,0,0,0,0,100,3,0,29,1,0,78,0,66
5,0,0,2,13490,12,1,3,2,1348,164,94,176,15,0,427,3,70
6,0,0,5,760,35,0,8,10,9996,149,36,125,1,11,1096,7,36
7,0,0,0,1181,0,0,0,0,144,71,0,92,0,3,13,18,14
8,0,0,0,2065,0,0,0,0,42,0,52,33,0,0,162,0,1
9,0,0,0,1938,0,0,0,0,17,1,31,2,0,0,48,0,1
10,0,0,17,10719,65,4,1,3,1770,281,345,82,9,69,521,9,156
11,0,0,0,2004,0,0,0,0,230,22,24,18,2,0,74,1,0
12,1,0,15,1719,59,12,27,47,2452,427,2953,78,12,7,5262,15,103
13,0,0,1,11341,15,1,1,0,1141,198,209,134,9,12,309,1,45
14,1,1,26,7603,166,9,26,90,3819,1239,1124,597,152,16,3049,76,524
15,0,0,0,2150,0,2,0,1,315,16,2,0,0,0,40,0,20
16,0,0,0,2319,0,0,0,1,191,1,129,0,10,2,172,0,23
